id,nom_latin,severite,categorie,probleme,action_recommandee
127,Campanula barbata,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
128,Campanula 'Birch hybrid',AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
129,Campanula carpatica,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
130,Campanula carpatica var. turbinata,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
133,Campanula garganica,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
134,Campanula portenschlagiana,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
135,Campanula poscharskyana,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
138,Campanula burghaltii,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
144,Campanula persicifolia var. sessiliflora,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
149,Cardamine pratensis,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
155,Centaurea hypoleuca,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
156,Centaurea macrocephala,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
157,Centaurea montana,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
159,Centaurea simplicicaulis,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
164,Cerastium arvense,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
174,Chrysanthemum hybrides des jardins,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
183,Clematis tangutica,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
185,Codonopsis tangshen,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
199,Coreopsis lanceolata,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
200,Coreopsis lanceolata,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
201,Coreopsis lanceolata,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
202,Coreopsis lanceolata,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
208,Coreopsis verticillata,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
217,Corydalis solida,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
227,Crocosmia hybrides,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
228,Crocosmia hybrides,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
229,Crocosmia hybrides,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
230,Crocosmia hybrides,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
231,Crocosmia hybrides,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
234,Cyclamen purpurascens,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
